Merchant,Merchant ID,promo_code,promo_amount,voucher type,promo category ,promo group,promo type,promo details,Remarks,Bill Status,Start Date,End Date
Auntie Anne's,62f0f17f-4039-4993-8e64-84b03910c005,FREEPRETZEL,120,coupled,Grab & Go,Booky,"Free item, Fixed discount",Free Pretzel when you pay via Bookypay. No min spend required,"not billable ""forever""",NOT BILLABLE,,
Auntie Anne's,62f0f17f-4039-4993-8e64-84b03910c005,B1UBECHEESEA,120,coupled,Grab & Go,Gcash/Booky,BOGO,BOGO Ube Cheese Bites for P120 (2x per month),,BILLABLE,2/23/2024,8/23/2024
Auntie Anne's,62f0f17f-4039-4993-8e64-84b03910c005,CREAMCHEESEA,250,coupled,Grab & Go,Gcash,Free item,FREE Cream Cheese Stix with a minimum spend of ₱250,,NOT BILLABLE,4/12/2024,No end date
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,PEPSILECHON,329,coupled,Casual Dining,Gcash,#N/A,"Lechon Banh Mi w/ PEPSI Lime for only ₱329, save ₱15","Comm will be based on the rate for 4 paying adults (528 weekdays, 548 weekends)",BILLABLE,4/15/2024,7/31/2024
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,BMKN199,199,coupled,Grab & Go,Gcash,BOGO,BOGO: Buy One The Classic Full for P199 and Get One Fish Fillet Full the same price,,BILLABLE,4/5/2024,10/5/2024
Mesa,778a5700-678b-489f-9be2-22a96bab523c,MESA45OFF,1995,coupled,Casual Dining,Unionbank,Bundle,"45% off for a meal for 4-5 just for ₱1,995",,PRE-TRIAL,3/15/2024,9/29/2024
The Alley by Vikings,f728f558-524e-4d6f-a614-9b4d85af59ff,ALLEY20OFF,,decoupled,Casual Dining,UB/Booky,Percent discount,"20% off all-you-can -eat, minimum of 15 pax",commission basis to be clarified since the promo offer is % of total bill,PRE-TRIAL,3/8/2024,6/3/2024
The Alley by Vikings,f728f558-524e-4d6f-a614-9b4d85af59ff,THEALLEY,,decoupled,Casual Dining,Unionbank,Percent discount,"25% off all-you-can -eat, minimum of 20 pax",commission basis to be clarified since the promo offer is % of total bill,PRE-TRIAL,3/8/2024,6/3/2024
