Merchant Name,Merchant ID,"""paymaya_credit_card""","""gcash""","""gcash_miniapp""","""paymaya""",maya_checkout,"""maya""",Lead gen commission,Comm Type
Auntie Anne's,62f0f17f-4039-4993-8e64-84b03910c005,2.75%,2.00%,2.00%,1.50%,2.75%,2.75%,5%,VAT Inc
Banh Mi Kitchen,9f8d0113-5719-4994-bb9d-03fea73f8644,2.25%,2.00%,2.00%,1.75%,2.25%,2.25%,10%,VAT Inc
Mesa,778a5700-678b-489f-9be2-22a96bab523c,1.95%,1.50%,1.50%,1.50%,1.95%,1.95%,5%,VAT Inc
The Alley by Vikings,f728f558-524e-4d6f-a614-9b4d85af59ff,,,,,,,5%,VAT Exc
